"Prod ID","Produit","Cat","Sous Cat","Coût","Prix Unitaire"
"OFF-PA-10004965","Papier A4 80g ramette 500 feuilles","Fourniture","Papeterie","4.50","7.99"
"OFF-ST-10000532","Stylo bille bleu boîte de 12","Fourniture","Ecriture","3.20","5.99"
"OFF-PA-10000520","Bloc notes autocollants 76x76mm","Fourniture","Papeterie","2.80","4.99"
"OFF-FA-10000611","Dossier suspendu lot de 25","Fourniture","Classement","12.00","19.99"
"FUR-CH-10000454","Chaise de bureau ergonomique","Mobilier","Chaise","85.00","149.99"
"OFF-PA-10004285","Papier recyclé A4 500 feuilles","Fourniture","Papeterie","5.20","8.99"
"FUR-CH-10001482","Fauteuil direction cuir","Mobilier","Chaise","180.00","299.99"
"OFF-BI-10002103","Bloc mémo fluorescent 3x3","Fourniture","Papeterie","1.90","3.49"
"OFF-BI-10003669","Marqueurs permanents lot 4","Fourniture","Ecriture","2.50","4.49"
"FUR-CH-10002965","Tabouret de bureau réglable","Mobilier","Chaise","45.00","79.99"
"OFF-PA-10003673","Enveloppes kraft A4 100 pièces","Fourniture","Papeterie","6.80","11.99"
"OFF-PA-10004451","Papier photo brillant A4","Fourniture","Papeterie","8.50","14.99"
"FUR-CH-10001714","Bureau d'angle avec rangement","Mobilier","Bureau","150.00","249.99"
"OFF-ST-10000615","Correcteur liquide","Fourniture","Ecriture","1.20","2.49"
"OFF-PA-10001560","Bloc sténo 6x9 80 feuilles","Fourniture","Papeterie","2.30","4.29"
"OFF-LA-10003923","Lampe de bureau LED","Fourniture","Accessoire","18.00","29.99"
"TEC-CO-10003236,Ordinateur portable 14"",Technologie,Ordinateur,450.00,699.99","Bureau d'angle avec rangement","Fourniture","Papeterie","150.00","249.99"
"TEC-PH-10002549","Smartphone Android 128Go","Technologie","Téléphonie","320.00","499.99"
"OFF-AR-10003651","Classeur anneaux 4 pouces","Fourniture","Classement","5.50","9.99"
"OFF-AP-10000938","Agenda perpétuel cuir","Fourniture","Papeterie","9.00","15.99"
"TEC-AC-10003499","Adaptateur USB-C multiport","Technologie","Accessoire","25.00","39.99"
"OFF-PA-10000673","Papier A3 80g ramette","Fourniture","Papeterie","7.00","12.99"
"OFF-ST-10000563","Surligneur jaune lot 5","Fourniture","Ecriture","2.90","5.49"
"FUR-FU-10002597","Fourniture de bureau tiroir","Mobilier","Rangement","35.00","59.99"
