"OrderID","OrderDate","Quantity","Unit Price","CustomerID"
"292","2013-01-02","4","16.00","181"
"296","2013-01-02","7","16.00","244"
"1157","2013-01-08","6","16.00","86"
"2138","2013-01-14","8","16.00","18"
"2437","2013-01-15","7","16.00","258"
"2967","2013-01-18","7","16.00","69"
"3060","2013-01-18","1","16.00","135"
"3107","2013-01-18","5","16.00","334"
"4121","2013-01-25","5","16.00","197"
"4431","2013-01-28","3","16.00","110"
"4457","2013-01-28","8","16.00","116"
"4616","2013-01-29","10","16.00","43"
"4652","2013-01-29","10","16.00","334"
"5112","2013-01-31","10","16.00","200"
"5423","2013-02-01","4","16.00","82"
"5549","2013-02-02","8","16.00","27"
"5982","2013-02-06","2","16.00","325"
"6155","2013-02-07","5","16.00","277"
"6356","2013-02-08","5","16.00","4"
"6655","2013-02-11","5","16.00","97"
"7293","2013-02-15","7","16.00","17"
"7950","2013-02-20","9","16.00","35"
"8163","2013-02-21","5","16.00","29"
"8809","2013-02-27","6","16.00","47"
"9624","2013-03-04","1","16.00","139"
"9793","2013-03-05","3","16.00","367"
"10158","2013-03-07","6","16.00","173"
"10232","2013-03-07","3","16.00","227"
"10251","2013-03-07","3","16.00","325"
"10739","2013-03-09","8","16.00","370"
"11055","2013-03-12","3","16.00","124"
"11356","2013-03-13","9","16.00","230"
"11469","2013-03-13","3","16.00","175"
"11557","2013-03-14","3","16.00","189"
"11600","2013-03-14","4","16.00","191"
"11693","2013-03-14","5","16.00","100"
"11878","2013-03-15","3","16.00","9"
"12040","2013-03-15","5","16.00","86"
"11918","2013-03-15","10","16.00","264"
"12563","2013-03-19","8","16.00","185"
"13332","2013-03-23","9","16.00","24"
"14261","2013-03-29","7","16.00","334"
"16083","2013-04-10","3","16.00","361"
"16248","2013-04-10","1","16.00","170"
"16940","2013-04-15","3","16.00","15"
"17190","2013-04-16","3","16.00","362"
"17237","2013-04-17","7","16.00","303"
"17338","2013-04-17","10","16.00","278"
"17814","2013-04-19","5","16.00","91"
"17734","2013-04-19","8","16.00","167"
"18781","2013-04-25","2","16.00","79"
"19581","2013-04-30","3","16.00","245"
"19508","2013-04-30","7","16.00","273"
"19707","2013-05-01","8","16.00","146"
"19814","2013-05-01","10","16.00","300"
"20009","2013-05-02","1","16.00","62"
"20201","2013-05-03","8","16.00","29"
"20208","2013-05-03","1","16.00","85"
"20518","2013-05-06","8","16.00","15"
"21778","2013-05-11","5","16.00","266"
"22461","2013-05-15","7","16.00","160"
"22625","2013-05-16","2","16.00","175"
"22801","2013-05-17","8","16.00","229"
"22812","2013-05-17","2","16.00","388"
"22970","2013-05-18","2","16.00","28"
"24802","2013-05-29","5","16.00","132"
"25578","2013-06-03","8","16.00","185"
"25859","2013-06-04","5","16.00","217"
"26053","2013-06-05","2","16.00","57"
"26307","2013-06-06","6","16.00","60"
"26989","2013-06-10","8","16.00","315"
"27018","2013-06-10","4","16.00","131"
"28157","2013-06-17","2","16.00","95"
"28381","2013-06-18","1","16.00","345"
"28807","2013-06-20","7","16.00","72"
"29204","2013-06-21","7","16.00","205"
"29235","2013-06-21","10","16.00","313"
"29927","2013-06-26","1","16.00","401"
"30204","2013-06-27","6","16.00","214"
"30446","2013-06-28","9","16.00","221"
"30972","2013-07-01","3","16.00","293"
"31095","2013-07-02","9","16.00","221"
"31136","2013-07-02","8","16.00","212"
"31147","2013-07-02","8","16.00","397"
"31160","2013-07-02","10","16.00","80"
"31403","2013-07-03","5","16.00","379"
"31839","2013-07-05","8","16.00","134"
"32222","2013-07-08","6","16.00","134"
"32366","2013-07-09","5","16.00","395"
"34274","2013-07-18","1","16.00","302"
"34491","2013-07-19","5","16.00","55"
"35265","2013-07-23","4","16.00","158"
"36392","2013-07-30","5","16.00","272"
"37024","2013-08-03","9","16.00","100"
"37294","2013-08-05","9","16.00","131"
"37779","2013-08-07","5","16.00","165"
"37963","2013-08-08","4","16.00","381"
"38630","2013-08-13","3","16.00","317"
"38833","2013-08-14","8","16.00","104"
"39067","2013-08-15","7","16.00","301"
"39265","2013-08-17","1","16.00","94"
"40151","2013-08-23","9","16.00","156"
"40215","2013-08-23","8","16.00","104"
"40256","2013-08-23","5","16.00","32"
"40470","2013-08-26","3","16.00","19"
"41383","2013-08-31","9","16.00","105"
"41406","2013-08-31","8","16.00","246"
"41409","2013-08-31","10","16.00","293"
"41521","2013-09-02","10","16.00","15"
"41696","2013-09-03","3","16.00","291"
"41594","2013-09-03","5","16.00","335"
"41606","2013-09-03","3","16.00","395"
"41892","2013-09-04","10","16.00","397"
"42318","2013-09-06","2","16.00","81"
"43072","2013-09-11","7","16.00","364"
"43181","2013-09-11","10","16.00","207"
"43429","2013-09-12","8","16.00","225"
"43694","2013-09-14","1","16.00","131"
"43845","2013-09-16","8","16.00","206"
"44011","2013-09-16","4","16.00","58"
"44130","2013-09-17","10","16.00","224"
"44204","2013-09-17","2","16.00","141"
"44752","2013-09-19","10","16.00","123"
"45107","2013-09-23","10","16.00","202"
"45645","2013-09-25","10","16.00","147"
"45807","2013-09-25","2","16.00","153"
"45954","2013-09-26","5","16.00","38"
"46366","2013-09-28","4","16.00","11"
"46608","2013-10-01","3","16.00","220"
"46800","2013-10-01","4","16.00","77"
"46825","2013-10-01","3","16.00","309"
"46777","2013-10-01","9","16.00","199"
"46999","2013-10-02","3","16.00","100"
"47004","2013-10-02","3","16.00","272"
"47260","2013-10-05","1","16.00","59"
"47661","2013-10-08","9","16.00","89"
"47697","2013-10-08","2","16.00","43"
"48052","2013-10-10","7","16.00","249"
"48632","2013-10-14","6","16.00","358"
"48725","2013-10-15","6","16.00","376"
"49660","2013-10-21","10","16.00","183"
"49872","2013-10-22","10","16.00","234"
"50752","2013-10-26","9","16.00","237"
"50871","2013-10-28","10","16.00","171"
"52156","2013-11-04","2","16.00","183"
"52392","2013-11-06","8","16.00","354"
"53592","2013-11-13","9","16.00","231"
"54707","2013-11-19","4","16.00","161"
"55166","2013-11-21","1","16.00","275"
"55759","2013-11-26","3","16.00","250"
"56088","2013-11-27","4","16.00","177"
"56261","2013-11-28","1","16.00","106"
"57124","2013-12-03","2","16.00","193"
"57412","2013-12-04","8","16.00","49"
"57863","2013-12-06","3","16.00","373"
"57827","2013-12-06","9","16.00","284"
"58378","2013-12-10","4","16.00","209"
"60136","2013-12-23","5","16.00","27"
"60397","2013-12-24","4","16.00","289"
"60351","2013-12-24","3","16.00","336"
"60206","2013-12-24","7","16.00","56"
"60222","2013-12-24","1","16.00","185"
"60955","2013-12-27","3","16.00","400"
"564","2013-01-04","3","16.00","302"
"912","2013-01-07","1","16.00","368"
"1022","2013-01-07","4","16.00","141"
"1112","2013-01-08","10","16.00","222"
"1827","2013-01-11","4","16.00","79"
"1946","2013-01-11","4","16.00","188"
"2203","2013-01-14","9","16.00","393"
"2776","2013-01-17","3","16.00","207"
"2935","2013-01-18","2","16.00","238"
"4137","2013-01-25","3","16.00","135"
"4821","2013-01-30","7","16.00","239"
"5357","2013-02-01","8","16.00","96"
