"CustomerID","Customer"
"0","Unknown"
"1","Tailspin Toys (Head Office)"
"2","Tailspin Toys (Sylvanite, MT)"
"3","Tailspin Toys (Peeples Valley, AZ)"
"4","Tailspin Toys (Medicine Lodge, KS)"
"5","Tailspin Toys (Gasport, NY)"
"6","Tailspin Toys (Jessie, ND)"
"7","Tailspin Toys (Frankewing, TN)"
"8","Tailspin Toys (Bow Mar, CO)"
"9","Tailspin Toys (Netcong, NJ)"
"10","Tailspin Toys (Wimbledon, ND)"
"11","Tailspin Toys (Devault, PA)"
"12","Tailspin Toys (Biscay, MN)"
"13","Tailspin Toys (Stonefort, IL)"
"14","Tailspin Toys (Long Meadow, MD)"
"15","Tailspin Toys (Batson, TX)"
"16","Tailspin Toys (Coney Island, MO)"
"17","Tailspin Toys (East Fultonham, OH)"
"18","Tailspin Toys (Goffstown, NH)"
"19","Tailspin Toys (Lemeta, AK)"
"20","Tailspin Toys (College Place, WA)"
"21","Tailspin Toys (Tresckow, PA)"
"22","Tailspin Toys (Ward Ridge, FL)"
"23","Tailspin Toys (Ikatan, AK)"
"24","Tailspin Toys (Dundarrach, NC)"
"25","Tailspin Toys (Avenal, CA)"
"26","Tailspin Toys (Hedrick, IA)"
"27","Tailspin Toys (Bowlus, MN)"
"28","Tailspin Toys (North Ridge, NY)"
"29","Tailspin Toys (Eulaton, AL)"
"30","Tailspin Toys (Koontzville, WA)"
"31","Tailspin Toys (Lake Stevens, WA)"
"32","Tailspin Toys (Maypearl, TX)"
"33","Tailspin Toys (Boyden Arbor, SC)"
"34","Tailspin Toys (Dallardsville, TX)"
"35","Tailspin Toys (Slanesville, WV)"
"36","Tailspin Toys (Ekron, KY)"
"37","Tailspin Toys (Kerby, OR)"
"38","Tailspin Toys (Airport Drive, MO)"
"39","Tailspin Toys (Diablock, KY)"
"40","Tailspin Toys (Impact, TX)"
"41","Tailspin Toys (Olivette, MO)"
"42","Tailspin Toys (Arietta, NY)"
"43","Tailspin Toys (Upper Preston, WA)"
"44","Tailspin Toys (Amanda Park, WA)"
"45","Tailspin Toys (Severna Park, MD)"
"46","Tailspin Toys (Jemison, AL)"
"47","Tailspin Toys (Lake Hughes, CA)"
"48","Tailspin Toys (Trentwood, WA)"
"49","Tailspin Toys (Muir, MI)"
"50","Tailspin Toys (Hambleton, WV)"
"51","Tailspin Toys (Imlaystown, NJ)"
"52","Tailspin Toys (Idria, CA)"
"53","Tailspin Toys (Nanafalia, AL)"
"54","Tailspin Toys (Railroad, PA)"
"55","Tailspin Toys (Gum Branch, GA)"
"56","Tailspin Toys (Royal City, WA)"
"57","Tailspin Toys (Lakemore, OH)"
"58","Tailspin Toys (Mappsburg, VA)"
"59","Tailspin Toys (Edgartown, MA)"
"60","Tailspin Toys (East Dailey, WV)"
"61","Tailspin Toys (Fairfield Glade, TN)"
"62","Tailspin Toys (Great Neck Estates, NY)"
"63","Tailspin Toys (Stallion Springs, CA)"
"64","Tailspin Toys (Hodgdon, ME)"
"65","Tailspin Toys (North Cowden, TX)"
"66","Tailspin Toys (Madaket, MA)"
"67","Tailspin Toys (Sentinel Butte, ND)"
"68","Tailspin Toys (Gardere, LA)"
"69","Tailspin Toys (Lytle Creek, CA)"
"70","Tailspin Toys (New Baden, IL)"
"71","Tailspin Toys (Good Hart, MI)"
"72","Tailspin Toys (Cortaro, AZ)"
"73","Tailspin Toys (Cokato, MN)"
"74","Tailspin Toys (Indios, PR)"
"75","Tailspin Toys (Windsor Locks, CT)"
"76","Tailspin Toys (Yewed, OK)"
"77","Tailspin Toys (Hahira, GA)"
"78","Tailspin Toys (Sekiu, WA)"
"79","Tailspin Toys (Page City, KS)"
"80","Tailspin Toys (Valdese, NC)"
"81","Tailspin Toys (Big Moose, NY)"
"82","Tailspin Toys (La Cueva, NM)"
"83","Tailspin Toys (Absecon, NJ)"
"84","Tailspin Toys (Aceitunas, PR)"
"85","Tailspin Toys (Andrix, CO)"
"86","Tailspin Toys (New Lexington, OH)"
"87","Tailspin Toys (Sauquoit, NY)"
"88","Tailspin Toys (Dracut, MA)"
"89","Tailspin Toys (Victory Gardens, NJ)"
"90","Tailspin Toys (Tolna, ND)"
"91","Tailspin Toys (Alstead, NH)"
"92","Tailspin Toys (Sans Souci, SC)"
"93","Tailspin Toys (Clewiston, FL)"
"94","Tailspin Toys (Cheyenne Wells, CO)"
"95","Tailspin Toys (Lavon, TX)"
"96","Tailspin Toys (South La Paloma, TX)"
"97","Tailspin Toys (Manchester Center, VT)"
"98","Tailspin Toys (El Centro, CA)"
"99","Tailspin Toys (Guin, AL)"
"100","Tailspin Toys (Tunnelhill, PA)"
"101","Tailspin Toys (Cundiyo, NM)"
"102","Tailspin Toys (Fieldbrook, CA)"
"103","Tailspin Toys (Kalvesta, KS)"
"104","Tailspin Toys (Wallagrass, ME)"
"105","Tailspin Toys (Tomnolen, MS)"
"106","Tailspin Toys (Tumacacori, AZ)"
"107","Tailspin Toys (Glen Avon, CA)"
"108","Tailspin Toys (Bernie, MO)"
"109","Tailspin Toys (South Laguna, CA)"
"110","Tailspin Toys (North Crows Nest, IN)"
"111","Tailspin Toys (Oriole Beach, FL)"
"112","Tailspin Toys (Sallyards, KS)"
"113","Tailspin Toys (Dahlia, NM)"
"114","Tailspin Toys (Cherry Grove Beach, SC)"
"115","Tailspin Toys (Bethania, NC)"
"116","Tailspin Toys (Rafael Capó, PR)"
"117","Tailspin Toys (Scofield, UT)"
"118","Tailspin Toys (Vassalboro, ME)"
"119","Tailspin Toys (Statenville, GA)"
"120","Tailspin Toys (Bratenahl, OH)"
"121","Tailspin Toys (Elrosa, MN)"
"122","Tailspin Toys (McClave, CO)"
"123","Tailspin Toys (Roe Park, NY)"
"124","Tailspin Toys (Hanoverton, OH)"
"125","Tailspin Toys (Annamoriah, WV)"
"126","Tailspin Toys (Francis Mills, NJ)"
"127","Tailspin Toys (Point Roberts, WA)"
"128","Tailspin Toys (East Portal, CO)"
"129","Tailspin Toys (Mineral Hills, MI)"
"130","Tailspin Toys (Maple Shade, NJ)"
"131","Tailspin Toys (Kwethluk, AK)"
"132","Tailspin Toys (Minidoka, ID)"
"133","Tailspin Toys (Lake Erie Beach, NY)"
"134","Tailspin Toys (Tavares, FL)"
"135","Tailspin Toys (Terre du Lac, MO)"
"136","Tailspin Toys (Mount Montgomery, NV)"
"137","Tailspin Toys (Carbonville, UT)"
"138","Tailspin Toys (Navassa, NC)"
"139","Tailspin Toys (Hardeeville, SC)"
"140","Tailspin Toys (Furley, KS)"
"141","Tailspin Toys (Arrow Rock, MO)"
"142","Tailspin Toys (King Cove, AK)"
"143","Tailspin Toys (Ashtabula, OH)"
"144","Tailspin Toys (Larose, LA)"
"145","Tailspin Toys (Manahawkin, NJ)"
"146","Tailspin Toys (Belgreen, AL)"
"147","Tailspin Toys (Fishtail, MT)"
"148","Tailspin Toys (Baraboo, WI)"
"149","Tailspin Toys (Inguadona, MN)"
"150","Tailspin Toys (Corfu, NY)"
"151","Tailspin Toys (Antares, AZ)"
"152","Tailspin Toys (Sun River, MT)"
"153","Tailspin Toys (Marcell, MN)"
"154","Tailspin Toys (Eden Valley, MN)"
"155","Tailspin Toys (Arbor Vitae, WI)"
"156","Tailspin Toys (Hollywood Park, TX)"
"157","Tailspin Toys (Saks, AL)"
"158","Tailspin Toys (Donner, LA)"
"159","Tailspin Toys (Saint Louis Park, MN)"
"160","Tailspin Toys (Crary, ND)"
"161","Tailspin Toys (Aspen Park, CO)"
"162","Tailspin Toys (Glen Park, NY)"
"163","Tailspin Toys (Panaca, NV)"
"164","Tailspin Toys (Rothsville, PA)"
"165","Tailspin Toys (Topstone, CT)"
"166","Tailspin Toys (McCamey, TX)"
"167","Tailspin Toys (Rockwall, TX)"
"168","Tailspin Toys (Seagraves, TX)"
"169","Tailspin Toys (Sinclair, WY)"
"170","Tailspin Toys (Eastchester, NY)"
"171","Tailspin Toys (Ortley Beach, NJ)"
"172","Tailspin Toys (Madrone, NM)"
"173","Tailspin Toys (Wappingers Falls, NY)"
"174","Tailspin Toys (Astor Park, FL)"
"175","Tailspin Toys (San Acacia, NM)"
"176","Tailspin Toys (Malott, WA)"
"177","Tailspin Toys (Orrtanna, PA)"
"178","Tailspin Toys (Armstrong Creek, WI)"
"179","Tailspin Toys (Hiteman, IA)"
"180","Tailspin Toys (Caselton, NV)"
"181","Tailspin Toys (Heilwood, PA)"
"182","Tailspin Toys (Hayes Center, NE)"
"183","Tailspin Toys (Tierra Verde, FL)"
"184","Tailspin Toys (South Euclid, OH)"
"185","Tailspin Toys (Vidrine, LA)"
"186","Tailspin Toys (Placer, OR)"
"187","Tailspin Toys (Brown City, MI)"
"188","Tailspin Toys (Premont, TX)"
"189","Tailspin Toys (Wilkes-Barre, PA)"
"190","Tailspin Toys (Teutopolis, IL)"
"191","Tailspin Toys (Orchard Hill, GA)"
"192","Tailspin Toys (Optimo, NM)"
"193","Tailspin Toys (Knifley, KY)"
"194","Tailspin Toys (Naples Park, FL)"
"195","Tailspin Toys (Lesslie, SC)"
"196","Tailspin Toys (Howells, NE)"
"197","Tailspin Toys (Magalia, CA)"
"198","Tailspin Toys (Buell, MO)"
"199","Tailspin Toys (Antonito, CO)"
"200","Tailspin Toys (Tooele, UT)"
"201","Tailspin Toys (Skyway, WA)"
"202","Wingtip Toys (Head Office)"
"203","Wingtip Toys (Black Lick, PA)"
"204","Wingtip Toys (Queen Valley, AZ)"
"205","Wingtip Toys (Penns Creek, PA)"
"206","Wingtip Toys (Bourbonnais, IL)"
"207","Wingtip Toys (Tuscaloosa, AL)"
"208","Wingtip Toys (Mooringsport, LA)"
"209","Wingtip Toys (Rockwall, TX)"
"210","Wingtip Toys (Orick, CA)"
"211","Wingtip Toys (Bernstein, TX)"
"212","Wingtip Toys (Edmund, WI)"
"213","Wingtip Toys (Bozeman Hot Springs, MT)"
"214","Wingtip Toys (Truscott, TX)"
"215","Wingtip Toys (Rose Tree, PA)"
"216","Wingtip Toys (Leathersville, GA)"
"217","Wingtip Toys (Necedah, WI)"
"218","Wingtip Toys (Chetek, WI)"
"219","Wingtip Toys (Yaak, MT)"
"220","Wingtip Toys (Compass Lake, FL)"
