"Quel est le problème économique fondamental découlant de la confrontation entre les besoins et les ressources ?","La rareté","qui résulte de besoins humains illimités face à des ressources (naturelles","financières","etc.) limitées."
"Comment l'économie est-elle définie en tant que science des choix ?","Elle étudie la façon dont les agents économiques effectuent des choix optimaux pour obtenir le maximum de satisfaction avec le minimum de ressources.","UNKNOWN","UNKNOWN","UNKNOWN"
"Selon la définition d'Edmond Malinvaud, quelles sont les trois opérations essentielles que l'économie étudie ?","La production, la distribution et la consommation de biens.","UNKNOWN","UNKNOWN","UNKNOWN"
"Pourquoi un ingénieur du XXIe siècle doit-il comprendre l'économie ?","Pour s'assurer que les solutions techniques développées sont également viables économiquement et non seulement techniquement parfaites.","UNKNOWN","UNKNOWN","UNKNOWN"
"Quelle est la formule d'un projet réussi en ingénierie ?","Un projet réussi est la combinaison d'une pertinence technique et d'une faisabilité économique.","UNKNOWN","UNKNOWN","UNKNOWN"
"Qui sont considérés comme les quatre principaux types d'acteurs ou agents économiques ?","Les ménages, les entreprises, les administrations publiques et le reste du monde.","UNKNOWN","UNKNOWN","UNKNOWN"
"Quelle est la fonction principale des ménages dans l'économie ?","Consommer des biens et services pour satisfaire leurs besoins, et fournir du travail en échange de revenus.","UNKNOWN","UNKNOWN","UNKNOWN"
"Quelle est la fonction principale des entreprises dans l'économie ?","Produire des biens et des services marchands.","UNKNOWN","UNKNOWN","UNKNOWN"
"Quelle est la fonction principale des administrations publiques dans l'économie ?","Rendre des services non marchands, réguler l'économie et redistribuer les richesses via les impôts.","UNKNOWN","UNKNOWN","UNKNOWN"
"Quel est le rôle du 'reste du monde' en tant qu'acteur économique ?","Il représente les interactions économiques avec d'autres pays, notamment par les importations et les exportations.","UNKNOWN","UNKNOWN","UNKNOWN"
"Quelle branche de l'économie étudie les comportements individuels des agents économiques comme les consommateurs et les entreprises ?","La microéconomie.","UNKNOWN","UNKNOWN","UNKNOWN"
"Quelle branche de l'économie étudie les relations entre les grands agrégats économiques comme le revenu, l'investissement et l'inflation ?","La macroéconomie.","UNKNOWN","UNKNOWN","UNKNOWN"
"Comment calcule-t-on le taux de chômage ?","C'est le pourcentage de chômeurs dans la population active, calculé par la formule : (Nombre de chômeurs / Population Active) × 100.","UNKNOWN","UNKNOWN","UNKNOWN"
"Qu'est-ce que la balance des paiements (BP) ?","C'est un document qui enregistre l'ensemble des échanges économiques entre les agents résidents d'un pays et les non-résidents pendant une année.","UNKNOWN","UNKNOWN","UNKNOWN"
"Quand dit-on que la balance des paiements est excédentaire ?","Lorsque le solde est positif, ce qui signifie que les entrées de devises sont supérieures aux sorties.","UNKNOWN","UNKNOWN","UNKNOWN"
"Quel est l'impact d'une croissance du PIB sur l'innovation ?","Une croissance du PIB indique un environnement économique favorable pour les innovations.","UNKNOWN","UNKNOWN","UNKNOWN"
"Quel est l'impact d'une inflation élevée sur les coûts de production ?","Une inflation élevée peut augmenter les coûts de production, rendant la commercialisation de nouveaux produits plus difficile.","UNKNOWN","UNKNOWN","UNKNOWN"
"Quels sont les trois principaux impacts de l'innovation sur la croissance économique ?","L'accroissement de la compétitivité, l'augmentation de la productivité et la création d'effets multiplicateurs sur l'économie.","UNKNOWN","UNKNOWN","UNKNOWN"
"Citez deux avantages stratégiques pour une entreprise innovante.","Elle attire davantage d'investisseurs et est plus apte à s'adapter aux changements économiques et technologiques.","UNKNOWN","UNKNOWN","UNKNOWN"
"Pourquoi l'importation est-elle importante pour les projets innovants ?","Elle permet d'accéder à des matériaux, des composants spécifiques ou des technologies de pointe non disponibles localement.","UNKNOWN","UNKNOWN","UNKNOWN"
"Pourquoi l'exportation est-elle importante pour les projets innovants ?","Elle permet d'élargir les opportunités de marché au-delà de la demande locale, qui peut être insuffisante ou saturée.","UNKNOWN","UNKNOWN","UNKNOWN"
"Quelle est l'équation de la fonction de consommation keynésienne ?","$C = C_0 + c \cdot Y_d$, où C est la consommation totale, C0 la consommation incompressible, c la propension marginale à consommer et Yd le revenu disponible.","UNKNOWN","UNKNOWN","UNKNOWN"
"Dans la fonction de consommation $C = C_0 + c \cdot Y_d$, que représente le terme $C_0$ ?","La consommation incompressible (ou autonome), c'est-à-dire le niveau de consommation qui existe même lorsque le revenu est nul.","UNKNOWN","UNKNOWN","UNKNOWN"
"Dans la fonction de consommation $C = C_0 + c \cdot Y_d$, que représente le terme 'c' ?","La propension marginale à consommer (PmC), qui est la part de chaque unité de revenu supplémentaire qui est consacrée à la consommation.","UNKNOWN","UNKNOWN","UNKNOWN"
"Comment définit-on l'épargne ?","L'épargne est la partie du revenu qui n'est pas consommée.","UNKNOWN","UNKNOWN","UNKNOWN"
"Selon l'optique de la production, comment le PIB est-il défini ?","Le PIB est la somme de toutes les valeurs ajoutées réalisées dans une économie, calculée comme Production - Consommation intermédiaire.","UNKNOWN","UNKNOWN","UNKNOWN"
